LOCATION,LAT,LON,Rpt Dist No
C                            ST,33.7721,-118.2749,524
400 S  DETROIT                      ST,34.0669,-118.3451,736
ANAHEIM                      ST,33.7796,-118.2689,522
800    SIGSBEE                      AV,33.7817,-118.2344,529
182ND                        ST,33.8672,-118.2906,501
200 N  MALGREN                      AV,33.7447,-118.3151,551
500 S  PACIFIC                      AV,33.7412,-118.2924,557
200    ISLAND                       AV,33.7711,-118.2657,525
1400 W  209TH                        ST,33.84,-118.3017,504
8800    KEWEN                        AV,34.2289,-118.3917,1672
700    DODSON                       AV,33.7379,-118.3114,561
1100    FLINT                        AV,33.7854,-118.2495,528
PACIFIC COAST                HY,33.7905,-118.275,515
100 S  PACIFIC                      AV,33.7433,-118.2879,564
6600 S  BUDLONG                      AV,33.9792,-118.2958,1245
1300 W  190TH                        ST,33.8583,-118.2994,504
1600 W  CARSON                       ST,33.8315,-118.3065,506
500 N  AVALON                       BL,33.7739,-118.2678,525
1000 S  NEW HAMPSHIRE                AV,34.0509,-118.2926,2056
00900 N  AVALON                       BL,33.7812,-118.2625,529
1300 S  DODSON                       AV,33.7316,-118.3119,561
24700    AVALON                       BL,33.8019,-118.264,518
700    AVERILL                      AV,33.7329,-118.3136,561
190TH,33.8583,-118.2993,504
1200 W  F                            ST,33.7763,-118.2765,524
20200    SORRENTO                     LN,34.2782,-118.5759,1701
2100 N  GAFFEY                       ST,33.7639,-118.2934,521
1200 W  CRUCES                       ST,33.7917,-118.2776,514
1900 S  MEYLER                       ST,33.727,-118.2968,585
1300    FIGUEROA                     PL,33.7881,-118.2821,513
1000    HARBOR HEIGHTS               DR,33.7928,-118.2922,503
1400 W  255TH                        ST,33.7925,-118.3012,511
1000    NEPTUNE                      AV,33.7826,-118.2691,532
1400 S  GAFFEY                       ST,33.7315,-118.2924,563
GAFFEY                       ST,33.7477,-118.2929,555
100 W  PACIFIC COAST                HY,33.7948,-118.2694,515
24400    AVALON                       BL,33.8046,-118.264,518
300 S  GAFFEY                       ST,33.7415,-118.2923,557
1800 S  MESA                         ST,33.7279,-118.2858,567
1600 W  256TH                        ST,33.7915,-118.3043,511
500 W  14TH                         ST,33.7315,-118.2879,563
900 E  VERNON                       AV,34.0039,-118.26,1353
700 W  182ND                        ST,33.8698,-118.2858,501
300 W  D                            ST,33.7741,-118.2646,525
1600    AVALON                       BL,33.7954,-118.2636,518
1100 W  DON                          ST,33.7977,-118.2763,514
1200 W  I                            ST,33.7806,-118.2769,514
SANDISON,33.7948,-118.2694,515
4600    GAINSBOROUGH                 AV,34.1127,-118.2903,1142
21600    VICTORY                      BL,34.188,-118.6002,2156
19500    NORMANDIE                    AV,33.8481,-118.3041,504
4100    ALLA                         RD,33.9926,-118.4378,1453
6900    KITTYHAWK                    AV,33.9754,-118.3722,1469
95TH                         ST,33.9501,-118.2827,1821
1300 S  GAFFEY                       ST,33.7324,-118.2924,563
1000 S  GAFFEY                       ST,33.7352,-118.2923,563
2900 S  DENISON                      AV,33.7179,-118.2889,587
1000 S  PALOS VERDES                 ST,33.7351,-118.2814,566
25800 S  VERMONT                      AV,33.7894,-118.2936,513
28000 S  WESTERN                      AV,33.7657,-118.3108,521
1100    PACIFIC COAST                HY,33.7903,-118.2955,513
24700    BAYPOINT                     AV,33.8019,-118.2602,518
200 W  12TH                         ST,33.7333,-118.2814,566
500    GULF                         AV,33.7751,-118.2725,525
100 N  GRAND                        AV,33.7433,-118.2901,557
1500 N  AVALON                       BL,33.7948,-118.2694,515
1600 W  204TH                        ST,33.8457,-118.3066,504
1500 W  247TH                        PL,33.7999,-118.3037,509
300 N  CENTRE                       ST,33.7451,-118.2835,558
3300    CAROLINA                     ST,33.7143,-118.2907,587
1400 W  LOMITA                       BL,33.7978,-118.3011,509
25800 S  WESTERN                      AV,33.7895,-118.3076,531
1300 N  AVALON                       BL,33.7888,-118.2631,517
1100 W  CRUCES                       ST,33.7914,-118.2764,514
HAWAIIAN,33.7763,-118.2765,524
600    ISLAND                       AV,33.7769,-118.2661,526
1100 S  LELAND                       ST,33.7326,-118.305,562
21100    PARTHENIA                    ST,34.2282,-118.593,1791
2400    NOTTINGHAM                   AV,34.1098,-118.3039,1153
800 S  BEACON                       ST,33.7369,-118.2804,567
20300    DENKER                       AV,33.8468,-118.3041,504
12100    OSBORNE                      ST,34.271,-118.3973,1634
500 W  SEPULVEDA                    ST,33.7451,-118.2879,555
NEPTUNE,33.7782,-118.2689,526
1100 N  AVALON                       BL,33.7868,-118.2658,516
1600 W  LOMITA                       BL,33.7978,-118.3043,509
CRESCENT,33.7288,-118.2813,569
WESTERN,33.7968,-118.3076,509
1500    TORRANCE                     BL,33.8417,-118.304,504
200 W  5TH                          ST,33.7403,-118.2814,564
300    MIRALESTE                    DR,33.7426,-118.3195,551
6200    VAN NUYS                     BL,34.1827,-118.4487,935
1000 W  ANAHEIM                      ST,33.7794,-118.2742,524
1000 W  15TH                         ST,33.7306,-118.299,563
200 E  R                            ST,33.7976,-118.2621,518
1600    TORRANCE                     BL,33.8399,-118.3066,504
600 W  8TH                          ST,33.737,-118.2901,565
1600 W  223RD                        ST,33.8245,-118.3064,507
400 W  PACIFIC COAST                HY,33.791,-118.267,516
8000    VINELAND                     AV,34.2157,-118.3703,1687
8400    WILEY POST                   AV,33.962,-118.3873,1477
500    BROAD                        AV,33.7757,-118.2608,529
200 N  WESTERN                      AV,33.7446,-118.3097,551
18500 S  NORMANDIE                    AV,33.8629,-118.2993,501
2400 E  ANAHEIM                      ST,33.7818,-118.2324,529
600 N  GAFFEY                       PL,33.7484,-118.2923,555
500 W  1ST                          ST,33.7433,-118.2879,557
1500 W  ANAHEIM                      ST,33.7845,-118.302,531
1400    MCDONALD                     AV,33.7907,-118.2719,515
TORRANCE                     BL,33.8417,-118.304,504
900 W  I                            ST,33.7808,-118.273,522
DENKER                       AV,33.8419,-118.304,504
800 W  PACIFIC COAST                HY,33.7948,-118.2694,515
MESA                         ST,33.7406,-118.2857,564
DENKER                       ST,33.8419,-118.304,504
1000    WILMINGTON                   BL,33.7897,-118.2787,514
1800 S  CENTRE                       ST,33.7279,-118.2836,567
300 W  6TH                          ST,33.7388,-118.2835,564
1000 W  36TH                         ST,33.7149,-118.3019,584
1300    MARINE                       AV,33.7888,-118.2644,516
19400 S  VERMONT                      AV,33.8524,-118.2924,505
100 E  ANAHEIM                      ST,33.78,-118.2624,529
100 E  I                            ST,33.7812,-118.2625,529
700 W  ANAHEIM                      ST,33.7796,-118.2702,522
MCCOY                        AV,33.7947,-118.2899,503
1600 W  PACIFIC COAST                HY,33.7926,-118.3043,511
800 W  3RD                          ST,33.7415,-118.2945,557
1000 W  254TH                        ST,33.7938,-118.2937,503
1300 W  211TH                        ST,33.838,-118.2996,504
1300 W  251ST                        ST,33.7968,-118.2999,509
WINDWARD,33.9869,-118.4736,1431
600 E  G                            ST,33.7789,-118.2558,529
BARRYWOOD                    AV,33.7611,-118.2955,521
1800 N  VAN NESS                     AV,34.1038,-118.3158,638
400 W  11TH                         ST,33.7342,-118.2857,566
1300 E  COLON                        ST,33.7917,-118.2482,519
3700    BLUFF                        PL,33.7106,-118.2871,589
26100 S  VERMONT                      AV,33.7845,-118.2975,513
ISLAND                       ST,33.7798,-118.2665,526
900    GULF                         AV,33.7808,-118.273,522
800 N  MEYLER                       ST,33.7443,-118.3088,551
BOULDER                      ST,34.0478,-118.2024,457
1100 S  PALOS VERDES                 ST,33.7342,-118.2814,566
1300 W  264TH                        ST,33.782,-118.3003,512
1000    FLINT                        AV,33.7837,-118.2498,528
800    KING                         AV,33.7793,-118.2755,514
1700 E  DENNI                        ST,33.7858,-118.2415,519
20TH                         ST,33.7261,-118.2902,585
700 W  15TH                         ST,33.7306,-118.2924,563
1500    GAMBLE                       AV,33.7945,-118.2437,519
19700    MAGELLAN                     DR,33.8525,-118.293,505
I                            ST,33.7808,-118.2736,522
HAZELTINE                    ST,34.1827,-118.44,937
700 W  17TH                         ST,33.7288,-118.2924,563
1400 W  CARSON                       ST,33.8315,-118.3016,506
600 N  HARBOR                       BL,33.7485,-118.2803,558
2800    CAROLINA                     ST,33.7188,-118.2907,587
1500    MARINE                       AV,33.7932,-118.2648,515
24100 S  WESTERN                      AV,33.8062,-118.3076,509
300 S  HARBOR                       BL,33.7415,-118.2796,558
800    MCDONALD                     AV,33.7795,-118.2711,522
1500    PLAZA DEL AMO,33.8214,-118.3037,507
1100    HYATT                        AV,33.7851,-118.2541,517
1400 W  PACIFIC COAST                HY,33.7941,-118.29,503
1800 E  OPP                          ST,33.7838,-118.24,529
1400 S  GRAND                        AV,33.7315,-118.2902,563
900 N  AVALON                       BL,33.7812,-118.2625,529
3100 S  GAFFEY                       ST,33.7161,-118.2929,587
1900 S  ALMA                         ST,33.727,-118.299,585
800 N  WESTERN                      AV,33.7522,-118.3089,541
1700    BROAD                        AV,33.7976,-118.2621,518
5700    RESEDA                       BL,34.1769,-118.5384,1043
1800 S  PACIFIC                      AV,33.7243,-118.2963,585
900 W  18TH                         ST,33.7243,-118.2963,585
900    NEW DOCK                     ST,33.758,-118.2481,559
100    SWINFORD                     ST,33.7486,-118.2805,558
900    FOOTE                        AV,33.7831,-118.2295,529
20600 S  WESTERN                      AV,33.8438,-118.3093,504
1000    MARINE                       AV,33.7828,-118.264,516
400 W  ANAHEIM                      ST,33.7798,-118.2665,526
1100    BROAD                        AV,33.7849,-118.2612,517
25600    MARIGOLD                     AV,33.7919,-118.2959,503
25300    PETROLEUM                    AV,33.7947,-118.2937,503
1100 W  16TH                         ST,33.7297,-118.3012,562
1200    FIGUEROA                     PL,33.786,-118.2816,513
7300    DARBY                        AV,34.2034,-118.5335,1015
1600    WESTWOOD                     BL,34.0529,-118.4397,855
1000 E  F                            ST,33.7777,-118.2505,529
600 W  2ND                          ST,33.7424,-118.2901,557
600 W  ELBERON                      AV,33.7484,-118.2923,555
2200 S  MAIN                         ST,34.0283,-118.2665,1321
1500 W  251ST                        ST,33.7968,-118.3027,509
2300    HOOPER                       AV,34.0203,-118.2506,1324
900    NICHOLSON                    AV,33.7836,-118.2223,529
100 W  E                            ST,33.7756,-118.2621,525
400 W  22ND                         ST,33.7243,-118.2858,567
1100    SANFORD                      AV,33.7853,-118.2506,528
1500    LAKME                        AV,33.7935,-118.2607,518
1500 W  261ST                        ST,33.786,-118.3032,531
1400 W  225TH                        ST,33.8223,-118.3015,507
1000    RONAN                        AV,33.7824,-118.2719,532
1500    MCDONALD                     AV,33.7929,-118.272,515
1200 W  YOUNG                        ST,33.785,-118.2779,514
3500 W  17TH                         ST,34.0418,-118.3225,779
18400    MALDEN                       ST,34.2255,-118.5333,1794
THE GROVE                    DR,34.0761,-118.3563,724
26200    PRESIDENT                    AV,33.7852,-118.3041,531
12900    SAN FERNANDO                 RD,34.309,-118.4719,1921
4200 W  ADAMS                        BL,34.0326,-118.3308,313
5700    CANOGA                       AV,34.1733,-118.5974,2177
25500    HARBOR VILLAGE               PL,33.7933,-118.2952,503
1900 S  FIGUEROA                     ST,34.0335,-118.2737,1311
18600 S  VERMONT                      AV,33.862,-118.2906,501
700    HAWAIIAN                     AV,33.7778,-118.2766,524
8600 S  FIGUEROA                     ST,33.9601,-118.2827,1802
ALMA                         ST,33.7361,-118.299,563
1300 E  OPP                          ST,33.7875,-118.2479,528
1300    DODSON                       AV,33.7325,-118.3119,561
21600    ROSCOE                       BL,34.2198,-118.6003,2115
100 E  80TH                         ST,33.967,-118.2739,1268
8700 S  SEPULVEDA                    BL,33.9586,-118.3962,1487
300 W  AMAR                         ST,33.7478,-118.2835,558
3700    CLARINGTON                   AV,34.0248,-118.4021,1407
1100    ALAMEDA                      ST,33.7974,-118.2372,519
1100    MARINE                       AV,33.7847,-118.2641,516
3500 S  NORMANDIE                    AV,34.0242,-118.3002,357
5100 W  20TH                         ST,34.0405,-118.3548,783
800 W  18TH                         ST,33.7243,-118.2963,585
6300    VARIEL                       AV,34.1847,-118.5928,2158
2100 S  PACIFIC                      AV,33.7243,-118.2963,585
6800    HOLLYWOOD                    BL,34.1016,-118.3387,645
25400    FRAMPTON                     AV,33.7938,-118.2999,513
92ND                         ST,33.9527,-118.309,1273
7700    SEPULVEDA                    BL,34.2103,-118.4662,904
21ST                         ST,34.0259,-118.2586,1313
100 W  D                            ST,33.7742,-118.262,525
900 W  190TH                        ST,33.8592,-118.2899,505
1400 E  ANAHEIM                      ST,33.7809,-118.2452,529
1000    MCFARLAND                    AV,33.7833,-118.2527,528
200 W  DENNI                        ST,33.7847,-118.2641,516
300 W  ANAHEIM                      ST,33.7799,-118.265,526
100 E  F                            ST,33.7771,-118.2622,529
5900    LEXINGTON                    AV,34.0926,-118.3179,667
22500    HARVARD                      BL,33.822,-118.3064,507
1700 S  ALMA                         ST,33.7288,-118.299,563
1700 W  27TH                         ST,33.7225,-118.3157,581
1300 W  228TH                        ST,33.819,-118.2996,507
100 N  ARBOLES                      CT,33.7433,-118.2821,564
1600    MOLINA                       LN,33.8627,-118.307,501
PRESIDENT                    AV,33.801,-118.3034,509
2000 S  LELAND                       ST,33.7261,-118.3012,585
900 W  29TH                         PL,33.7185,-118.2977,584
1700 W  85TH                         ST,33.9609,-118.3068,1263
800 W  14TH                         ST,33.7315,-118.2946,563
3700    CAROLINA                     ST,33.7106,-118.2907,587
HERRICK,34.3049,-118.4527,1915
1700    PALACIOS                     DR,33.7278,-118.3143,581
1400 W  224TH                        ST,33.8234,-118.3015,507
200    PCH,33.7911,-118.2646,516
1200 S  BROADWAY,34.0377,-118.2607,185
900 N  SERRANO                      AV,34.0862,-118.3064,678
1300 W  ANAHEIM                      ST,33.7835,-118.3,512
4700    HUNTINGTON DR,34.0854,-118.1829,427
28100 S  WESTERN                      AV,33.7655,-118.3109,521
500 S  WESTERN                      AV,33.74,-118.313,551
1700    CUMBRE                       DR,33.7244,-118.322,581
2500    GUNNELL                      AV,33.7253,-118.319,581
2700 S  WALKER                       AV,33.7144,-118.2997,584
PALOS VERDES                 DR,33.7801,-118.3016,512
1900    MOUNT SHASTA                 DR,33.7617,-118.3037,521
900 W  11TH                         ST,33.7343,-118.2968,563
1000    GOODRICH                     AV,33.7839,-118.2381,529
2400    2ND                          AV,34.0349,-118.3189,314
1900    GRENADIER                    DR,33.7274,-118.3183,581
1800    GRENADIER                    DR,33.7272,-118.3173,581
24100    FRAMPTON                     AV,33.8067,-118.3009,508
AVALON,33.7785,-118.2623,526
1400 W  240TH                        ST,33.8072,-118.3014,509
1500    ROCKWOOD                     ST,34.063,-118.2598,237
1800 W  VERNON                       AV,34.0073,-118.3108,395
1100    BANNING                      BL,33.785,-118.2583,517
1600 W  240TH                        ST,33.8112,-118.3039,508
1100 W  252ND                        ST,33.7958,-118.2959,513
BELL PORTE                   ST,33.7926,-118.3043,511
800 W  95TH                         ST,33.9501,-118.2893,1821
1300    WATSON                       AV,33.7909,-118.2481,519
1700 W  24TH                         ST,34.0346,-118.3024,316
1000 W  13TH                         ST,33.7325,-118.299,563
1100    CAPITOL                      DR,33.7569,-118.3026,541
1600 W  OLYMPIC                      BL,34.0492,-118.2742,275
GAFFEY,33.7352,-118.2923,565
5300    FORBES                       AV,34.1673,-118.4991,1068
300 W  SEPULVEDA                    ST,33.7451,-118.2835,558
700    MAR VISTA                    AV,33.7777,-118.2779,524
SAWTELLE,34.0356,-118.439,882
1600 W  218TH                        ST,33.8303,-118.3065,506
25200    MCCOY                        AV,33.7957,-118.2899,503
15400    NORDHOFF                     ST,34.2355,-118.4684,1971
L                            ST,33.7866,-118.2654,516
11100    BALBOA                       BL,34.2757,-118.5144,1729
400 N  FRIES                        AV,33.7741,-118.2646,525
500 W  21ST                         ST,33.7252,-118.288,585
1700 W  LOMITA                       BL,33.7978,-118.3076,509
1100    EUBANK                       AV,33.7851,-118.2553,517
1200 W  PACIFIC COAST                HY,33.7904,-118.2777,514
700 W  24TH                         ST,33.7224,-118.2924,585
1600    LAGOON                       AV,33.7952,-118.2682,515
25500    BAYSIDE                      PL,33.7928,-118.2916,503
SUMMERLAND                   AV,33.7477,-118.2929,555
2100 S  GAFFEY                       ST,33.7252,-118.2924,585
22900 S  WESTERN                      AV,33.818,-118.3089,507
1700    WESTMONT                     DR,33.7626,-118.3083,521
1500 N  GAFFEY                       ST,33.7578,-118.2923,521
1700    ISLAND                       AV,33.7973,-118.2675,515
700 S  PACIFIC                      AV,33.7365,-118.2923,565
1100    WILMINGTON                   BL,33.7897,-118.2787,514
22800 S  WESTERN                      AV,33.8191,-118.3089,507
VAN NESS,34.2758,-118.4052,1613
1600    PACIFIC COAST                HY,33.7974,-118.2372,519
600 W  ANAHEIM                      ST,33.7795,-118.2715,522
47TH,34.0006,-118.2871,1207
200 W  C                            ST,33.7727,-118.2632,525
BAYVIEW,33.7738,-118.2698,525
1300    PALMETTO                     ST,34.0402,-118.2329,159
200 N  MESA                         ST,33.7442,-118.2857,558
1600 W  259TH                        ST,33.7882,-118.3043,531
BRUNSWICK,34.1268,-118.2671,1102
19600    PACIFIC GATEWAY              DR,33.8533,-118.2953,505
1200 S  MESA                         ST,33.7333,-118.2857,566
1400 W  190TH                        ST,33.8584,-118.3022,504
1700    CHANDELEUR                   DR,33.7396,-118.3136,551
1300    STORM PARKWAY,33.817,-118.2996,507
900    HENRY FORD                   AV,33.7823,-118.2418,529
600 W  14TH                         ST,33.7315,-118.2902,563
1500    OAKHORNE                     DR,33.8115,-118.3037,508
100 N  BEACON                       ST,33.7433,-118.2804,564
13000 W  SAN VICENTE                  BL,34.0488,-118.4896,831
1300 W  CHANDLER                     ST,33.7958,-118.2785,514
500 W  182ND                        ST,33.8703,-118.2816,501
300    KING                         AV,33.7731,-118.2749,524
1300 S  PALOS VERDES                 ST,33.7324,-118.2814,566
18400 S  WESTERN                      AV,33.8632,-118.3091,501
1600 N  HOBART                       BL,34.1,-118.3056,649
600 W  PACIFIC COAST                HY,33.7948,-118.2694,515
12200    FOOTHILL                     BL,34.2809,-118.4018,1602
400    MCDONALD                     AV,33.7737,-118.2711,525
12800    VANOWEN                      ST,34.1939,-118.4131,1512
700    GULF                         AV,33.778,-118.2727,522
WESTMORELAND,34.0935,-118.2878,1162
1000 S  PACIFIC                      AV,33.7352,-118.2879,566
1700 N  KINGSLEY                     DR,34.1018,-118.3035,639
8300    LINCOLN                      BL,33.9627,-118.4217,1474
12100 W  SAN VICENTE                  BL,34.0519,-118.4752,826
1100 W  37TH                         ST,33.7135,-118.3037,584
23200 S  WESTERN                      AV,33.8148,-118.3089,508
HOLLYWOOD                    BL,34.1016,-118.3333,646
400 W  16TH                         ST,33.7297,-118.2857,567
BERTH 181,33.764,-118.2624,527
ROSCOE                       BL,34.2214,-118.4731,1981
24400    SEAGROVE                     AV,33.8047,-118.2579,518
100 S  HARBOR VIEW                  AV,33.7434,-118.3087,551
1400 W  9TH                          ST,33.7361,-118.3077,561
700    LAGOON                       AV,33.7783,-118.2675,526
1300 S  CENTRE                       ST,33.7324,-118.2836,566
500 S  BARRINGTON                   AV,34.0597,-118.4685,827
190TH                        ST,33.8584,-118.3035,504
1800 E  M                            ST,33.7897,-118.2401,519
800 W  12TH                         ST,33.7334,-118.2946,563
1900    ROSALIA                      RD,34.1054,-118.2863,1142
500 W  SANTA CRUZ                   ST,33.7442,-118.2879,555
10500    WEIGAND                      AV,33.9389,-118.2297,1839
700    IROLO                        ST,34.0581,-118.3009,2034
1600 W  SANTA CRUZ                   ST,33.7449,-118.3109,551
300 E  12TH                         ST,34.036,-118.2568,185
600 W  21ST                         ST,33.7252,-118.2902,585
1500 S  CABRILLO                     AV,33.7306,-118.2946,563
M,33.7888,-118.2749,514
FRAMPTON,33.7895,-118.2999,511
200 E  73RD                         ST,33.9739,-118.2717,1258
1100    GULF                         AV,33.7844,-118.2733,532
1000 S  BEACON                       ST,33.7347,-118.2842,566
6500 W  SUNSET                       BL,34.098,-118.3314,666
1000    FOOTE                        AV,33.784,-118.2295,529
1600 W  247TH                        ST,33.801,-118.3056,509
1100 W  PACIFIC COAST                HY,33.7904,-118.2764,514
2900 W  59TH                         ST,33.9872,-118.3255,1232
600    UPLAND                       AV,33.75,-118.292,555
MESA,33.7397,-118.2857,564
1200    GOODRICH                     AV,33.7888,-118.2388,519
BERTH 42,33.7201,-118.2757,569
25300    FRAMPTON                     AV,33.7926,-118.3043,511
13700    SYLVAN                       ST,34.1849,-118.4313,937
1300 W  PACIFIC COAST                HY,33.7905,-118.28,514
900 W  SUMMERLAND                   AV,33.7476,-118.2967,555
300 W  PACIFIC COAST                HY,33.7948,-118.2694,515
OFARRELL                     ST,33.746,-118.2817,558
800 W  F                            ST,33.7766,-118.2713,525
20500    HART                         ST,34.1974,-118.5797,2148
900 W  LOMITA                       BL,33.7978,-118.2908,503
3100    OVERLAND                     AV,34.0265,-118.4184,1428
1900 S  HARVARD                      BL,34.04,-118.3043,2093
MARIGOLD                     AV,33.7928,-118.2959,513
1200 W  185TH                        ST,33.8627,-118.2942,501
12900    VENTURA                      BL,34.1451,-118.4137,998
300 S  AVENUE 57,34.1093,-118.1879,1139
235TH                        ST,33.8127,-118.3089,508
253RD                        ST,33.7948,-118.3011,511
200 N  BANDINI                      ST,33.7447,-118.2989,555
12100    LEVEN                        LN,34.0644,-118.4781,813
6800    REMMET                       AV,34.1938,-118.6003,2146
3900 S  CENTINELA                    AV,33.9989,-118.4369,1445
24600    AVALON                       BL,33.8028,-118.264,518
9300 S  SAN PEDRO                    ST,33.9515,-118.2695,1823
400 S  AVENUE 56,34.1039,-118.1934,1169
10300    FAIRGROVE                    AV,34.2559,-118.2832,1639
3000 W  12TH                         ST,34.049,-118.3063,2063
1400 W  PASEO DEL MAR,33.7141,-118.3089,584
700 W  38TH                         ST,33.7096,-118.2916,587
10800    LE CONTE                     AV,34.0711,-118.4454,818
200 N  GAFFEY                       ST,33.7447,-118.2923,555
1500 W  212TH                        ST,33.8371,-118.3078,504
400 E  VERNON                       AV,34.0039,-118.2696,1352
1700 W  243RD                        ST,33.8041,-118.3077,509
800    FRIGATE                      AV,33.7791,-118.2782,514
1000 W  PACIFIC COAST                HY,33.7905,-118.275,514
600    WILMINGTON                   BL,33.7765,-118.2739,522
100 S  PALOS VERDES                 ST,33.7433,-118.2813,564
1300 W  218TH                        ST,33.8303,-118.2996,506
5000    ALHAMBRA                     AV,34.0692,-118.1767,438
400 W  3RD                          ST,33.7415,-118.2857,564
900 N  WILMINGTON                   BL,33.7808,-118.2743,522
700    KING                         AV,33.7778,-118.2753,524
200 W  1ST                          ST,33.7433,-118.2813,564
18500    COLLINS                      ST,34.1745,-118.536,1043
HARTFORD                     AV,34.0573,-118.2634,248
600    MATEO                        ST,34.0378,-118.2327,159
1100    FRIGATE                      AV,33.7842,-118.2779,514
400 W  20TH                         ST,33.7261,-118.2858,567
12700    SHERMAN                      WY,34.2012,-118.4094,1512
1600    FIGUEROA                     ST,33.7949,-118.2825,514
17000    ROSCOE                       BL,34.2248,-118.5151,1795
KING                         AV,33.7793,-118.2755,524
200 W  3RD                          ST,33.7415,-118.2813,564
3800    CARPENTER                    AV,34.1382,-118.3905,1595
8700    GUTHRIE                      AV,34.0412,-118.3813,889
3000    CLUNE                        AV,33.9821,-118.4632,1441
100 E  3RD                          ST,34.0496,-118.2458,135
2600    MERCED                       ST,34.0898,-118.2268,1177
700    SANFORD                      AV,33.7792,-118.2506,529
5900 W  CENTURY                      BL,33.9456,-118.3932,1496
9500 S  MAIN                         ST,33.9502,-118.2739,1822
15000    MARLIN                       PL,34.1971,-118.4596,914
24400    ALBATROSS                    AV,33.8046,-118.2631,518
900    MALTMAN                      AV,34.0853,-118.2804,204
800 N  AVALON                       BL,33.78,-118.2624,529
1600 N  AVENUE 55,34.1228,-118.1976,1126
1100 N  ALEXANDRIA                   AV,34.0909,-118.2984,1161
800 S  WESTLAKE                     AV,34.0529,-118.2776,265
1400 S  BEACON                       ST,33.7315,-118.2805,567
9700 N  SEPULVEDA                    BL,34.2464,-118.4674,1962
800 W  60TH                         ST,33.9855,-118.287,1239
100 N  HOPE                         ST,34.0564,-118.2499,122
2300 S  ALMA                         ST,33.7234,-118.299,585
500 E  D                            ST,33.7745,-118.2568,529
400 W  109TH                        PL,33.9365,-118.2806,1842
30TH,33.9798,-118.467,1441
300 N  LAFAYETTE PARK               PL,34.0733,-118.2766,215
500 S  VIRGIL                       AV,34.0652,-118.2871,2029
1200 S  WESTGATE                     AV,34.047,-118.4632,842
1000 W  D                            ST,33.7735,-118.2737,524
11500    ZELZAH                       AV,34.2794,-118.524,1715
500    MCDONALD                     AV,33.7751,-118.2712,525
7000    HAWTHORN                     AV,34.1004,-118.3414,645
900    MCFARLAND                    AV,33.7819,-118.2526,529
1700 W  260TH                        ST,33.7869,-118.3079,531
4000 S  BUDLONG                      AV,34.0109,-118.2959,397
2600    AVERILL                      AV,33.721,-118.3093,583
800 S  GAFFEY                       ST,33.737,-118.2923,565
800 S  SERRANO                      AV,34.0577,-118.3066,2033
400 N  AVALON                       BL,33.7739,-118.2678,525
12300    CALIFA                       ST,34.1774,-118.4012,1532
1100 W  MAURETANIA                   ST,33.7895,-118.2764,514
700 S  ARDMORE                      AV,34.0581,-118.302,2034
20700    WESTERN                      AV,33.8429,-118.3093,504
1000    RAVENNA                      AV,33.7826,-118.2684,516
3800 S  PACIFIC                      AV,33.7136,-118.2904,587
900    BAYVIEW                      LN,33.7916,-118.2915,503
15000    RINALDI                      ST,34.283,-118.4635,1931
1300 W  8TH                          ST,33.737,-118.3056,562
300 E  JEFFERSON                    BL,34.0174,-118.2621,1333
9400    REMICK                       AV,34.2397,-118.4149,1651
1500 S  BEACON                       ST,33.7306,-118.2805,567
9900    GLENOAKS                     BL,34.2429,-118.3887,1664
1600 W  259TH                        PL,33.7875,-118.3043,531
3300 S  MAIN                         ST,34.0195,-118.2721,1331
400 S  WESTERN                      AV,34.0668,-118.3091,2023
1000 W  186TH                        ST,33.862,-118.2906,501
SAN PEDRO,34.0385,-118.2491,176
S  WESTERN                      AV,33.9892,-118.3089,1213
19600    HORACE                       ST,34.2671,-118.5626,1725
8400    MULHOLLAND                   DR,34.1325,-118.3974,1591
9400    REVERIE                      RD,0.0,0.0,1668
1400    BRETT                        PL,33.7562,-118.3065,541
400 W  18TH                         ST,33.7279,-118.2858,567
22700    DENKER                       AV,33.8202,-118.3037,507
1100 W  ANAHEIM                      ST,33.7862,-118.2908,513
6800 S  SAN PEDRO                    ST,33.9779,-118.2695,1395
800 W  LOMITA                       BL,33.7978,-118.2885,503
6600    BERTRAND                     AV,34.1903,-118.5244,1035
1000    BAYVIEW                      LN,33.7915,-118.2939,503
1500 W  182ND                        ST,33.8656,-118.3026,501
900 W  12TH                         ST,33.7334,-118.2968,563
RESEDA,34.1819,-118.536,1034
12600    PIERCE                       ST,34.2758,-118.4052,1613
500 W  10TH                         ST,33.7352,-118.2879,565
4600    VISTA DEL MONTE              AV,34.1548,-118.4499,974
800 W  10TH                         ST,33.7352,-118.2946,565
3100    WILSHIRE                     BL,34.0618,-118.2894,2038
BLUFF                        PL,33.7106,-118.2871,589
1000 S  KINGSLEY                     DR,34.0526,-118.3031,2054
3500 W  8TH                          ST,34.0577,-118.3066,2033
800 S  DETROIT                      ST,34.0589,-118.3465,745
2500 S  HARCOURT                     AV,34.0341,-118.3454,305
600 S  VAN NESS                     AV,34.0623,-118.3154,2021
GRAMERCY                     DR,34.0545,-118.3122,2042
16700    SATICOY                      ST,34.2084,-118.4972,1008
WHITLEY,34.1016,-118.3333,636
7500    FOUNTAIN                     AV,34.0962,-118.349,644
7400 W  SUNSET                       BL,34.098,-118.3517,644
ARGYLE,34.1037,-118.3252,637
5500    BARTON                       AV,34.0876,-118.3114,657
